date,temperature
12/01/2008,23.86
19/01/2008,23.86
26/01/2008,24.10
2/02/2008,24.35
9/02/2008,24.32
16/02/2008,24.53
23/02/2008,24.58
1/03/2008,25.54
8/03/2008,25.49
15/03/2008,25.99
22/03/2008,26.00
29/03/2008,26.14
5/04/2008,26.98
12/04/2008,27.00
19/04/2008,28.08
26/04/2008,27.98
3/05/2008,28.39
10/05/2008,29.51
17/05/2008,29.31
24/05/2008,30.20
31/05/2008,30.54
7/06/2008,30.69
14/06/2008,31.33
21/06/2008,31.49
28/06/2008,31.80
5/07/2008,32.32
12/07/2008,32.77
19/07/2008,32.96
26/07/2008,32.58
2/08/2008,33.50
9/08/2008,33.42
16/08/2008,33.41
23/08/2008,33.21
30/08/2008,33.95
6/09/2008,33.49
13/09/2008,33.89
20/09/2008,34.04
27/09/2008,34.03
4/10/2008,33.86
11/10/2008,32.92
18/10/2008,32.92
25/10/2008,32.88
1/11/2008,32.83
8/11/2008,32.96
15/11/2008,32.81
22/11/2008,31.69
29/11/2008,31.93
6/12/2008,31.77
13/12/2008,30.58
20/12/2008,30.91
27/12/2008,29.81
3/01/2009,30.19
10/01/2009,29.29
17/01/2009,28.99
24/01/2009,28.91
31/01/2009,28.64
7/02/2009,27.63
14/02/2009,27.14
21/02/2009,27.07
28/02/2009,26.87
7/03/2009,26.34
14/03/2009,25.62
21/03/2009,25.34
28/03/2009,24.90
4/04/2009,24.86
11/04/2009,25.19
18/04/2009,25.03
25/04/2009,24.63
2/05/2009,24.09
9/05/2009,24.58
16/05/2009,23.55
23/05/2009,24.22
30/05/2009,24.13
6/06/2009,23.94
13/06/2009,24.50
20/06/2009,24.20
27/06/2009,23.85
4/07/2009,24.21
11/07/2009,24.37
18/07/2009,25.06
25/07/2009,25.14
1/08/2009,25.56
8/08/2009,25.88
15/08/2009,26.32
22/08/2009,26.50
29/08/2009,26.37
5/09/2009,27.28
12/09/2009,27.27
19/09/2009,27.34
26/09/2009,27.91
3/10/2009,28.80
10/10/2009,29.11
17/10/2009,29.07
24/10/2009,29.39
31/10/2009,29.88
7/11/2009,30.20
14/11/2009,31.05
21/11/2009,31.72
28/11/2009,32.23
5/12/2009,32.65
12/12/2009,32.38
19/12/2009,32.64
26/12/2009,33.45
2/01/2010,33.21
9/01/2010,33.41
16/01/2010,33.67
23/01/2010,34.07
30/01/2010,34.29
6/02/2010,33.88
13/02/2010,34.21
20/02/2010,34.15
27/02/2010,33.94
6/03/2010,34.63
13/03/2010,34.46
20/03/2010,34.14
27/03/2010,33.56
3/04/2010,33.85
10/04/2010,33.04
17/04/2010,33.41
24/04/2010,33.08
1/05/2010,32.77
8/05/2010,32.68
15/05/2010,31.55
22/05/2010,32.06
29/05/2010,31.66
5/06/2010,31.33
12/06/2010,30.90
19/06/2010,29.74
26/06/2010,29.61
3/07/2010,28.82
10/07/2010,28.56
17/07/2010,28.55
24/07/2010,28.29
31/07/2010,27.84
7/08/2010,26.90
14/08/2010,27.32
21/08/2010,27.10
28/08/2010,26.36
4/09/2010,26.01
11/09/2010,26.03
18/09/2010,25.67
25/09/2010,25.34
2/10/2010,24.58
9/10/2010,24.45
16/10/2010,24.81
23/10/2010,24.40
30/10/2010,24.55
6/11/2010,24.23
13/11/2010,24.55
20/11/2010,24.04
27/11/2010,24.93
4/12/2010,24.94
11/12/2010,25.18
18/12/2010,24.78
25/12/2010,25.10
1/01/2011,25.67
8/01/2011,25.63
15/01/2011,26.18
22/01/2011,26.54
29/01/2011,26.14
5/02/2011,27.20
12/02/2011,27.29
19/02/2011,27.84
26/02/2011,28.53
5/03/2011,28.38
12/03/2011,29.30
19/03/2011,29.29
26/03/2011,29.59
2/04/2011,30.56
9/04/2011,31.03
16/04/2011,31.49
23/04/2011,31.72
30/04/2011,31.43
7/05/2011,32.12
14/05/2011,32.96
21/05/2011,33.05
28/05/2011,33.22
4/06/2011,33.72
11/06/2011,33.45
18/06/2011,33.61
25/06/2011,34.00
2/07/2011,34.69
9/07/2011,34.15
16/07/2011,34.74
23/07/2011,34.72
30/07/2011,34.88
6/08/2011,34.80
13/08/2011,34.64
20/08/2011,34.49
27/08/2011,34.59
3/09/2011,34.73
10/09/2011,34.10
17/09/2011,33.71
24/09/2011,33.58
1/10/2011,33.15
8/10/2011,32.96
15/10/2011,33.04
22/10/2011,33.14
29/10/2011,32.28
5/11/2011,31.70
12/11/2011,31.29
19/11/2011,31.66
26/11/2011,30.85
3/12/2011,30.34
10/12/2011,30.48
17/12/2011,29.40
24/12/2011,29.57
31/12/2011,28.49
7/01/2012,28.66
14/01/2012,28.46
21/01/2012,27.97
28/01/2012,27.01
4/02/2012,26.73
11/02/2012,26.91
18/02/2012,26.10
25/02/2012,25.60
3/03/2012,25.70
10/03/2012,25.20
17/03/2012,25.79
24/03/2012,25.47
31/03/2012,25.13
7/04/2012,25.51
14/04/2012,25.42
21/04/2012,24.75
28/04/2012,25.17
5/05/2012,25.52
12/05/2012,24.81
19/05/2012,24.86
26/05/2012,25.19
2/06/2012,25.16
9/06/2012,25.69
16/06/2012,26.38
23/06/2012,26.36
30/06/2012,26.90
7/07/2012,27.06
14/07/2012,27.50
21/07/2012,27.27
28/07/2012,28.03
4/08/2012,28.39
11/08/2012,28.77
18/08/2012,29.10
25/08/2012,29.92
1/09/2012,30.15
8/09/2012,30.82
15/09/2012,30.95
22/09/2012,31.08
29/09/2012,32.19
6/10/2012,32.13
13/10/2012,32.35
20/10/2012,32.62
27/10/2012,33.54
3/11/2012,33.57
10/11/2012,33.99
17/11/2012,34.65
24/11/2012,34.79
1/12/2012,34.73
8/12/2012,35.30
15/12/2012,35.08
22/12/2012,34.90
29/12/2012,35.19
5/01/2013,35.15
12/01/2013,34.82
19/01/2013,35.66
26/01/2013,35.36
2/02/2013,35.21
9/02/2013,35.01
16/02/2013,35.24
23/02/2013,34.43
2/03/2013,34.69
9/03/2013,34.09
16/03/2013,34.15
23/03/2013,33.77
30/03/2013,33.41
6/04/2013,33.18
13/04/2013,32.41
20/04/2013,32.47
27/04/2013,31.59
4/05/2013,31.91
11/05/2013,31.42
18/05/2013,31.06
25/05/2013,30.58
1/06/2013,29.52
8/06/2013,29.71
15/06/2013,28.64
22/06/2013,28.37
29/06/2013,28.10
6/07/2013,27.57
13/07/2013,27.12
20/07/2013,27.05
27/07/2013,27.40
3/08/2013,26.82
10/08/2013,26.80
17/08/2013,26.18
24/08/2013,26.23
31/08/2013,25.59
7/09/2013,26.17
14/09/2013,26.07
21/09/2013,25.22
28/09/2013,25.85
5/10/2013,25.85
12/10/2013,25.56
19/10/2013,26.12
26/10/2013,25.84
2/11/2013,26.16
9/11/2013,26.26
16/11/2013,26.62
23/11/2013,26.96
30/11/2013,26.80
7/12/2013,27.03
14/12/2013,27.00
21/12/2013,27.49
28/12/2013,28.05
4/01/2014,28.67
11/01/2014,29.17
18/01/2014,29.22
25/01/2014,29.19
1/02/2014,29.62
8/02/2014,30.77
15/02/2014,30.59
22/02/2014,31.43
1/03/2014,32.17
8/03/2014,32.29
15/03/2014,33.01
22/03/2014,33.41
29/03/2014,33.20
5/04/2014,33.94
12/04/2014,34.19
19/04/2014,34.22
26/04/2014,34.43
3/05/2014,34.55
10/05/2014,34.86
17/05/2014,34.88
24/05/2014,35.03
31/05/2014,35.51
7/06/2014,36.05
14/06/2014,35.35
21/06/2014,35.55
28/06/2014,36.18
5/07/2014,35.35
12/07/2014,35.26
19/07/2014,36.07
26/07/2014,35.17
2/08/2014,34.80
9/08/2014,34.77
16/08/2014,34.49
23/08/2014,34.42
30/08/2014,33.90
6/09/2014,34.37
13/09/2014,33.55
20/09/2014,33.75
27/09/2014,32.57
4/10/2014,32.83
11/10/2014,32.33
18/10/2014,31.80
25/10/2014,31.55
1/11/2014,31.20
8/11/2014,31.01
15/11/2014,29.98
22/11/2014,29.60
29/11/2014,29.75
6/12/2014,29.22
13/12/2014,28.81
20/12/2014,27.76
27/12/2014,28.10
3/01/2015,27.89
10/01/2015,27.04
17/01/2015,27.50
24/01/2015,27.02
31/01/2015,26.26
7/02/2015,26.05
14/02/2015,26.00
21/02/2015,26.69
28/02/2015,26.36
7/03/2015,25.62
14/03/2015,25.75
21/03/2015,26.21
28/03/2015,26.40
4/04/2015,26.23
11/04/2015,26.83
18/04/2015,26.87
25/04/2015,26.72
2/05/2015,26.93
9/05/2015,26.96
16/05/2015,27.19
23/05/2015,28.05
